listing_id,area_sqm,rooms,price_cold,lv95_east,lv95_north,population
58,83,2.0,1150,2585415.5,1221247.625,196.0
59,121,6.0,3780,2499957.0,1118414.25,
60,92,4.0,1735,2592956.25,1246128.5,13.0
62,37,1.0,900,2666121.75,1239147.625,54.0
63,65,3.0,1380,2742762.5,1272173.25,61.0
64,120,4.0,1340,2745544.5,1253628.125,114.0
65,90,4.0,1890,2607029.5,1272113.875,
66,20,1.0,950,2676096.75,1214901.625,106.0
67,85,4.0,1630,2595387.0,1209296.0,6.0
68,87,3.0,1500,2625591.75,1199197.125,62.0
69,60,2.0,1707,2675372.25,1250064.375,116.0
70,61,2.0,950,2587565.5,1221311.125,91.0
71,75,5.0,2380,2489338.75,1113864.75,13.0
72,69,3.0,1720,2535181.25,1153156.0,163.0
73,65,3.0,1730,2686282.0,1251383.125,137.0
74,260,5.0,7700,2498352.75,1118165.25,118.0
75,23,1.0,1300,2723572.0,1121439.875,
76,131,5.0,1371,2612745.25,1266942.875,101.0
77,80,3.0,1158,2675573.0,1250031.0,230.0
78,94,2.0,3500,2666608.75,1212327.125,97.0
79,85,3.0,1050,2717463.25,1096542.5,60.0
80,45,2.0,1100,2612656.5,1263783.125,103.0
81,43,1.0,1050,2578394.5,1182784.125,137.0
82,55,2.0,1130,2663905.5,1211853.25,146.0
83,82,4.0,1270,2726428.25,1269671.625,197.0
84,35,1.0,1390,2680284.5,1247428.125,163.0
85,48,2.0,670,2695819.25,1233879.25,90.0
86,75,3.0,1715,2686907.0,1245746.375,100.0
87,72,2.0,1442,2674582.25,1248410.75,102.0
88,117,4.0,2090,2724831.75,1239543.375,
89,76,3.0,1330,2748312.25,1256343.25,110.0
90,70,3.0,1100,2596584.75,1193551.75,
91,68,4.0,1450,2655742.25,1249027.625,70.0
92,18,1.0,1100,2700395.75,1229123.75,
93,58,3.0,1070,2588130.5,1222193.125,147.0
94,30,1.0,1060,2611881.5,1268100.875,212.0
95,56,3.0,1100,2682987.25,1263607.125,81.0
96,55,2.0,1040,2690816.5,1285674.875,97.0
97,40,2.0,1100,2597811.5,1199762.875,115.0
98,43,2.0,1250,2666051.25,1210912.875,279.0
99,110,2.0,2650,2696377.5,1261503.125,
100,44,2.0,1850,2659759.25,1232969.625,35.0
101,95,3.0,1610,2627014.0,1241069.0,89.0
102,100,4.0,1850,2641570.5,1129109.75,112.0
103,56,2.0,1069,2586194.0,1220676.375,338.0
104,87,3.0,1715,2646499.5,1257889.875,69.0
105,71,3.0,1420,2601573.75,1201235.375,100.0
106,52,2.0,1000,2738750.25,1253061.125,31.0
107,80,3.0,2874,2601476.25,1200112.25,16.0
108,95,4.0,1850,2682562.75,1244113.625,41.0
109,76,4.0,1735,2712989.0,1270752.375,73.0
110,43,2.0,995,2744540.5,1253971.125,200.0
111,65,2.0,1200,2604570.5,1259671.875,104.0
112,54,2.0,879,2746823.25,1254909.0,87.0
113,61,2.0,1410,2671843.0,1251218.0,181.0
114,55,2.0,1715,2681165.75,1249516.75,
115,58,3.0,1300,2613688.5,1265963.125,173.0
116,50,2.0,1520,2706240.25,1254679.0,59.0
117,54,2.0,1100,2577504.75,1183444.625,174.0
120,31,1.0,695,2566533.0,1118874.75,90.0
121,89,3.0,1240,2572862.0,1252063.875,25.0
122,63,2.0,1700,2675021.75,1209639.625,84.0
124,26,1.0,690,2585859.0,1220145.375,131.0
125,90,3.0,1820,2530715.5,1175013.0,124.0
126,47,2.0,1640,2541681.75,1152232.0,123.0
127,20,1.0,850,2682765.0,1249508.0,165.0
128,49,1.0,1050,2690128.0,1284467.0,97.0
129,100,3.0,1720,2612413.75,1220143.75,64.0
130,24,1.0,1000,2539631.0,1153659.25,122.0
131,99,4.0,1610,2738138.5,1253625.125,140.0
132,45,2.0,750,2586017.5,1220308.75,133.0
134,65,2.0,1020,2603309.0,1202717.375,104.0
135,57,2.0,1680,2665273.25,1211599.125,87.0
136,63,3.0,930,2586968.75,1222682.625,70.0
137,105,3.0,3152,2516989.5,1148449.625,3.0
138,91,4.0,1350,2586161.0,1221100.75,54.0
139,140,5.0,4330,2498810.25,1117912.875,190.0
140,20,2.0,1470,2501388.0,1117477.0,108.0
141,52,2.0,1434,2697116.5,1244335.625,61.0
142,81,3.0,1400,2689826.5,1255178.0,134.0
144,126,4.0,2390,2578509.25,1183837.5,185.0
145,76,2.0,2065,2694326.0,1262393.0,90.0
146,55,2.0,1200,2609606.25,1197550.5,76.0
147,75,4.0,1480,2608808.25,1263147.5,30.0
148,57,2.0,1240,2615321.75,1221577.375,7.0
149,65,2.0,1495,2548706.75,1160893.5,98.0
150,112,4.0,1850,2616129.25,1240185.625,28.0
151,30,1.0,660,2746052.75,1254729.5,89.0
152,76,3.0,1770,2519410.5,1149995.625,148.0
153,29,2.0,1350,2498547.5,1117806.25,476.0
154,30,1.0,1200,2678688.25,1249280.625,286.0
155,62,3.0,1180,2604899.5,1207596.5,39.0
156,50,2.0,1000,2681569.75,1247078.5,303.0
157,100,4.0,300,2690300.75,1283502.125,44.0
158,72,3.0,1990,2665918.75,1209352.25,493.0
159,21,1.0,1045,2665435.75,1211521.0,11.0
160,86,4.0,1710,2590004.0,1193680.875,119.0
161,98,3.0,1515,2690858.75,1263721.0,105.0
163,80,3.0,1450,2745186.5,1253400.375,103.0
164,20,1.0,650,2579632.0,1184249.0,92.0
165,49,2.0,1200,2578262.25,1181535.25,66.0
166,85,3.0,1680,2690971.75,1209004.625,93.0
167,65,3.0,1170,2654826.75,1251794.125,104.0
168,160,6.0,3490,2699778.25,1262609.25,97.0
169,61,2.0,1240,2615321.75,1221577.375,7.0
170,92,4.0,1440,2691945.5,1286518.875,29.0
171,74,2.0,1444,2682505.0,1243074.75,7.0
172,79,2.0,1310,2666410.5,1210635.125,107.0
173,53,2.0,1550,2679589.25,1247105.5,165.0
174,60,3.0,760,2739901.25,1250384.0,101.0
175,32,1.0,523,2747215.0,1254915.875,174.0
177,66,2.0,1675,2703512.0,1243362.75,88.0
178,51,2.0,1320,2600201.5,1198836.75,3.0
179,47,2.0,1000,2662923.0,1251486.25,32.0
181,120,3.0,1275,2612029.75,1266307.25,39.0
183,32,1.0,1020,2646854.5,1250018.875,166.0
184,64,3.0,1390,2698890.5,1261040.5,96.0
185,22,1.0,970,2746015.75,1254661.75,116.0
186,50,2.0,1000,2690459.0,1283426.0,92.0
187,43,2.0,1242,2673690.0,1250200.125,37.0
188,82,3.0,1650,2710051.75,1268665.375,56.0
189,30,1.0,860,2601355.75,1200819.75,203.0
190,23,1.0,800,2683017.5,1247618.75,3.0
191,35,1.0,1251,2681153.5,1248526.125,231.0
192,35,1.0,1037,2685687.0,1250975.5,62.0
193,33,1.0,967,2682526.25,1247545.125,109.0
194,92,3.0,1250,2612745.25,1266942.875,101.0
195,31,1.0,729,2596468.75,1199211.25,27.0
196,36,2.0,750,2747458.5,1255188.375,92.0
197,60,3.0,1380,2758758.5,1192114.75,108.0
198,50,2.0,1130,2685080.75,1254430.0,132.0
199,18,1.0,800,2600255.5,1201663.0,81.0
200,17,1.0,820,2602781.75,1198999.625,19.0
201,114,3.0,2500,2664030.0,1213515.0,111.0
202,75,3.0,1370,2690086.25,1284132.25,23.0
203,23,1.0,535,2609480.5,1267868.25,219.0
204,79,3.0,1400,2646658.25,1247818.125,82.0
205,111,4.0,2000,2654814.75,1251865.875,62.0
206,65,3.0,1940,2681738.0,1246769.625,349.0
207,17,1.0,850,2696339.25,1262185.5,87.0
208,32,1.0,1150,2683471.5,1251486.0,51.0
209,71,3.0,1330,2613661.5,1266428.625,197.0
210,55,2.0,1350,2663905.5,1211853.25,146.0
211,42,2.0,1195,2532132.0,1155226.875,105.0
212,66,2.0,1715,2526737.5,1151709.125,117.0
213,90,3.0,1270,2747330.25,1255073.0,218.0
214,33,1.0,1120,2718528.0,1096430.125,212.0
215,27,1.0,691,2577365.5,1184471.25,120.0
216,60,3.0,960,2590603.25,1221057.0,23.0
217,69,4.0,990,2624932.5,1239765.875,102.0
218,40,1.0,770,2745781.0,1252426.75,26.0
219,80,1.0,1550,2683108.75,1249216.75,97.0
220,41,1.0,1360,2699778.25,1262609.25,97.0
221,30,1.0,660,2753292.5,1173944.5,98.0
222,34,1.0,970,2637217.25,1239069.875,133.0
223,54,2.0,895,2585368.25,1219498.625,166.0
224,48,2.0,1530,2665415.0,1211822.0,41.0
225,20,2.0,1470,2501388.0,1117477.0,108.0
227,74,3.0,1124,2612851.25,1265187.0,35.0
228,35,1.0,800,2585414.75,1220417.75,215.0
229,110,4.0,1850,2722673.5,1280498.0,31.0
230,95,3.0,1900,2537997.25,1153886.0,167.0
231,68,4.0,1150,2747847.75,1255336.625,181.0
232,64,3.0,1478,2585567.0,1220309.875,205.0
233,16,1.0,760,2578291.25,1182671.625,91.0
234,41,1.0,1180,2699850.75,1262577.625,166.0
235,75,3.0,2800,2601260.25,1128415.125,24.0
236,68,3.0,1630,2690919.75,1209218.625,101.0
237,150,5.0,1200,2678743.75,1248984.875,193.0
238,62,3.0,1150,2747610.75,1255325.25,211.0
239,90,4.0,1340,2687336.5,1281547.625,87.0
241,90,3.0,1500,2654923.75,1251987.25,91.0
242,78,3.0,1760,2759270.5,1191543.5,67.0
243,73,3.0,1130,2723201.75,1212158.375,43.0
244,80,2.0,1650,2599601.25,1250212.875,26.0
245,120,5.0,1510,2587295.5,1222287.75,26.0
246,41,1.0,1140,2610311.5,1266009.375,80.0
247,42,1.0,755,2723944.5,1077191.375,98.0
248,56,3.0,2480,2499078.5,1118658.875,428.0
249,14,1.0,1086,2499065.0,1117420.5,384.0
250,43,1.0,1150,2612331.25,1262484.375,69.0
251,60,3.0,1740,2682313.5,1263314.0,160.0
252,61,3.0,1900,2501870.25,1117392.625,390.0
253,82,2.0,2050,2542060.25,1150448.75,117.0
254,36,1.0,1560,2684272.75,1246442.625,162.0
255,69,3.0,1650,2600092.25,1198449.625,154.0
256,150,4.0,1900,2557220.25,1203090.75,107.0
258,71,3.0,1507,2745512.0,1253123.625,39.0
259,70,3.0,1520,2672473.5,1250530.0,145.0
260,16,1.0,985,2664253.25,1213834.5,149.0
261,41,1.0,960,2610311.5,1266009.375,80.0
262,45,2.0,1100,2716433.5,1078830.5,110.0
263,60,2.0,1500,2698851.75,1260918.625,126.0
264,50,2.0,1545,2538329.75,1152377.25,23.0
265,78,3.0,1661,2690988.5,1247128.5,105.0
267,60,2.0,900,2601498.5,1128422.75,50.0
268,68,2.0,2057,2665709.75,1211448.5,65.0
269,47,1.0,1760,2610814.75,1268288.25,303.0
270,89,3.0,2200,2695942.5,1261378.125,3.0
271,85,3.0,810,2577212.5,1227042.625,54.0
272,46,1.0,1750,2678452.0,1248905.125,153.0
273,102,3.0,1305,2595965.75,1217447.125,17.0
274,87,4.0,2900,2500158.5,1115448.5,208.0
275,94,3.0,1988,2696874.25,1262157.875,84.0
276,59,3.0,1550,2654975.75,1248841.625,39.0
277,35,2.0,1400,2538383.25,1152509.375,110.0
278,78,4.0,1305,2638104.5,1237751.75,55.0
279,52,1.0,1000,2609798.75,1265966.125,73.0
280,30,1.0,1180,2678729.75,1249276.125,179.0
281,30,1.0,690,2585571.75,1219528.875,64.0
282,15,1.0,850,2666445.75,1257901.25,112.0
283,137,4.0,2600,2731270.5,1253329.625,46.0
284,58,2.0,1245,2562810.75,1130042.125,161.0
285,85,3.0,1700,2651630.0,1239058.875,68.0
286,15,1.0,880,2612711.0,1263908.125,34.0
287,60,3.0,1120,2658612.0,1260206.125,42.0
288,90,4.0,1485,2741194.5,1253356.625,107.0
289,89,3.0,1700,2759267.75,1190738.875,209.0
290,40,1.0,1175,2707360.0,1115100.25,39.0
291,36,2.0,1320,2499534.5,1116339.125,261.0
292,22,1.0,1130,2500211.25,1116108.75,183.0
293,70,3.0,970,2593185.75,1245412.5,82.0
294,60,3.0,1500,2725584.0,1269263.0,37.0
295,57,3.0,1660,2665415.0,1211822.0,41.0
296,100,4.0,1640,2689570.0,1253284.0,86.0
297,62,3.0,930,2551869.75,1215820.125,74.0
298,110,3.0,1800,2724592.25,1239782.125,49.0
299,72,3.0,870,2592203.0,1246189.5,37.0
300,58,2.0,1755,2699789.0,1262234.875,262.0
302,70,2.0,1535,2680227.75,1250814.5,103.0
303,40,2.0,1850,2501567.75,1117077.625,448.0
304,120,3.0,1480,2725748.25,1239221.625,24.0
305,17,1.0,1500,2682752.5,1246436.875,134.0
307,47,1.0,950,2611461.5,1265843.125,313.0
308,45,2.0,845,2750342.5,1264815.375,88.0
309,94,4.0,1050,2610388.5,1224094.0,52.0
310,57,2.0,1050,2766635.5,1252634.75,57.0
311,130,4.0,4050,2500805.75,1116405.625,289.0
312,70,3.0,1415,2608584.75,1267131.5,128.0
313,67,3.0,2136,2498352.75,1118165.25,118.0
314,27,1.0,950,2611388.5,1265986.375,127.0
315,128,1.0,1550,2681252.75,1248988.0,153.0
316,81,3.0,1397,2710889.0,1269196.875,24.0
317,70,2.0,1795,2539778.25,1151773.25,195.0
318,54,2.0,2395,2689005.25,1250102.0,45.0
319,45,1.0,800,2584991.5,1219165.25,76.0
320,69,4.0,1063,2742029.0,1220920.25,73.0
321,91,3.0,2170,2662667.25,1211160.625,357.0
323,64,3.0,1160,2690316.25,1284362.0,145.0
324,39,2.0,1098,2578453.0,1183886.0,85.0
326,41,2.0,1266,2537162.75,1152533.625,192.0
327,103,2.0,1720,2615784.75,1264145.0,7.0
328,86,2.0,3500,2498050.25,1119270.625,24.0
329,25,1.0,1150,2541813.5,1155693.625,21.0
330,184,3.0,3000,2602355.75,1128047.875,24.0
331,102,4.0,1800,2642198.75,1129142.625,140.0
332,21,1.0,890,2609930.25,1265918.0,142.0
333,60,3.0,966,2585365.0,1219480.875,166.0
334,73,3.0,1800,2599479.0,1198525.125,124.0
335,68,3.0,1210,2633138.0,1239206.25,83.0
336,73,3.0,1750,2536347.0,1154683.625,104.0
337,47,2.0,695,2553083.25,1216460.0,140.0
338,77,4.0,1395,2553805.75,1218066.0,167.0
339,82,4.0,1578,2627626.5,1267416.875,153.0
340,75,3.0,1300,2690457.75,1283468.0,92.0
341,71,3.0,1505,2611365.25,1268158.625,259.0
342,77,2.0,1850,2536133.25,1152789.5,62.0
343,65,2.0,2298,2678743.75,1248984.875,193.0
345,70,3.0,1090,2746801.0,1255477.25,20.0
346,27,1.0,990,2746366.25,1254946.125,53.0
347,30,1.0,990,2745828.25,1253856.375,148.0
348,78,3.0,1360,2604160.75,1200688.625,84.0
349,24,1.0,760,2577622.75,1182926.125,68.0
350,60,2.0,1531,2699693.0,1240283.25,78.0
351,66,3.0,1650,2520380.0,1174375.0,5.0
352,37,1.0,780,2585368.25,1219498.625,166.0
353,47,2.0,1370,2539813.0,1151757.875,120.0
354,85,3.0,1030,2576528.25,1232409.75,3.0
356,100,3.0,1805,2635379.25,1241081.5,156.0
357,111,4.0,2430,2605934.25,1229089.25,31.0
358,27,1.0,990,2747209.0,1254646.5,55.0
359,80,3.0,970,2725469.25,1270203.375,61.0
360,41,1.0,710,2751734.5,1212663.875,104.0
361,69,2.0,960,2642095.25,1245615.75,85.0
362,34,1.0,990,2746477.5,1255114.375,4.0
363,70,3.0,1450,2636490.75,1240504.625,69.0
364,61,1.0,800,2592847.25,1119521.5,128.0
365,50,1.0,1910,2684937.0,1246204.0,119.0
366,82,3.0,1700,2615185.5,1180647.25,121.0
367,38,1.0,790,2738926.25,1249460.25,74.0
368,89,3.0,3600,2685160.25,1236438.25,
369,75,3.0,1250,2628343.25,1259607.875,
370,113,5.0,1895,2602258.0,1195825.75,144.0
371,113,4.0,1965,2612219.0,1176889.375,108.0
372,46,2.0,1370,2613534.0,1266806.75,263.0
373,88,4.0,1100,2748430.25,1263632.0,96.0
374,61,3.0,2100,2503835.0,1116721.5,46.0
375,47,2.0,1360,2562768.75,1129566.75,164.0
376,85,4.0,1100,2611146.75,1226345.375,36.0
377,95,3.0,1250,2721900.25,1123959.25,44.0
378,59,2.0,1450,2570417.5,1173320.125,47.0
379,51,3.0,1045,2494859.75,1120906.5,235.0
380,47,2.0,1950,2681569.75,1247078.5,303.0
381,60,3.0,1350,2602320.75,1199186.25,132.0
382,40,1.0,850,2610212.0,1267862.625,222.0
383,95,3.0,1700,2686074.75,1242294.75,60.0
384,38,1.0,790,2738953.25,1249485.875,74.0
385,94,4.0,1950,2595528.25,1199891.375,181.0
386,101,4.0,2500,2677860.25,1249228.5,89.0
387,110,3.0,2290,2614705.5,1178575.25,73.0
388,72,3.0,1020,2626648.0,1226070.0,19.0
389,87,4.0,1500,2636490.75,1240504.625,69.0
390,25,1.0,1100,2681785.25,1246550.125,238.0
391,40,2.0,795,2555537.25,1188189.875,50.0
392,67,3.0,2136,2497815.75,1118611.375,70.0
393,67,3.0,1390,2710363.0,1268836.625,62.0
394,100,3.0,1950,2719037.0,1096512.125,29.0
395,80,2.0,2690,2507273.0,1137663.25,310.0
396,89,3.0,1940,2666887.75,1240382.375,36.0
397,120,4.0,2580,2538870.0,1188767.75,6.0
398,52,2.0,1100,2607029.5,1272113.875,
399,30,1.0,790,2541927.5,1181381.5,4.0
400,42,2.0,1395,2532158.5,1155293.625,105.0
401,80,3.0,1680,2603883.5,1127434.375,15.0
402,59,2.0,760,2748953.0,1263592.25,101.0
403,35,1.0,800,2747064.75,1256076.375,38.0
404,90,5.0,2760,2501881.0,1126525.75,315.0
405,34,1.0,1107,2682617.0,1243455.125,180.0
406,72,3.0,2005,2693981.5,1256788.625,4.0
407,71,3.0,914,2595161.25,1225536.75,59.0
408,33,1.0,820,2613069.5,1269067.125,155.0
409,72,4.0,1330,2620861.75,1261530.5,101.0
410,60,3.0,1010,2596133.0,1230303.25,
411,70,3.0,1090,2747816.0,1257525.125,85.0
412,43,2.0,1610,2536471.75,1152372.75,57.0
414,60,2.0,1830,2686889.75,1250934.75,121.0
415,94,4.0,1380,2610503.75,1224126.625,159.0
416,49,2.0,1077,2568684.25,1183765.125,32.0
417,50,2.0,1030,2609764.75,1268798.25,280.0
418,98,4.0,2100,2693746.25,1263357.125,168.0
419,80,3.0,1892,2613945.75,1264431.25,125.0
420,119,4.0,3500,2603446.0,1128898.125,42.0
421,63,2.0,1200,2562253.5,1123153.25,128.0
422,77,3.0,1053,2538182.0,1153229.375,137.0
423,85,4.0,670,2593976.25,1236228.0,94.0
424,51,2.0,1200,2754497.0,1225788.125,57.0
425,52,2.0,950,2560263.25,1204600.0,158.0
426,75,3.0,1100,2721826.25,1078735.125,90.0
427,33,1.0,940,2745935.25,1270091.375,168.0
428,64,3.0,1500,2613525.5,1267095.625,141.0
429,63,3.0,1350,2663892.25,1259875.375,92.0
430,79,3.0,1585,2671978.25,1251215.125,166.0
431,39,1.0,981,2604431.5,1200978.875,143.0
432,47,2.0,1480,2539813.0,1151757.875,120.0
433,65,2.0,1380,2730190.0,1271670.0,4.0
434,51,2.0,1290,2608575.5,1266415.375,148.0
435,80,3.0,2450,2525390.0,1151369.5,14.0
436,40,2.0,1950,2501595.5,1117090.625,448.0
437,66,3.0,1440,2615321.75,1221577.375,7.0
438,85,3.0,1840,2565577.5,1163779.625,3.0
439,72,3.0,1180,2621671.75,1260670.875,136.0
440,45,2.0,1400,2729866.0,1278180.5,16.0
441,80,2.0,1415,2614466.0,1178840.5,97.0
442,95,3.0,2090,2605973.0,1255296.25,13.0
443,47,2.0,1480,2539813.0,1151757.875,120.0
444,66,3.0,1220,2621660.25,1260795.75,112.0
445,33,1.0,1105,2538222.5,1153152.125,122.0
446,50,2.0,1820,2697098.0,1261794.75,91.0
448,71,3.0,1940,2686267.75,1257655.875,129.0
450,97,3.0,1590,2747422.0,1258575.625,86.0
451,45,2.0,1005,2642999.0,1130653.375,145.0
452,94,5.0,1820,2623829.5,1208802.75,37.0
453,100,4.0,1700,2716790.0,1095188.0,6.0
454,73,3.0,1330,2689746.5,1284054.75,50.0
455,86,4.0,1330,2747362.5,1256234.375,180.0
456,65,2.0,1395,2628889.25,1239349.75,36.0
457,84,3.0,1450,2613423.75,1175717.5,161.0
458,84,3.0,1680,2646261.25,1251676.5,28.0
459,82,3.0,1490,2608954.75,1267313.125,142.0
460,120,4.0,1990,2692249.75,1287191.375,
461,78,3.0,1250,2578247.0,1182807.875,198.0
462,70,3.0,1400,2550971.0,1168869.125,208.0
463,62,2.0,2100,2680681.25,1262392.375,25.0
464,50,2.0,1000,2594598.25,1225857.875,95.0
465,55,2.0,1620,2672568.75,1250065.125,103.0
466,53,3.0,1450,2531002.0,1175026.0,29.0
467,27,2.0,1150,2746550.5,1254429.0,157.0
468,72,3.0,1200,2627802.0,1255898.375,17.0
469,65,3.0,1695,2697160.0,1244192.75,95.0
470,58,3.0,1110,2631231.75,1237447.375,3.0
472,85,3.0,2030,2689183.0,1253557.0,108.0
473,82,2.0,1750,2525382.25,1151285.125,3.0
474,45,1.0,1660,2687608.25,1235123.25,58.0
475,67,2.0,1250,2716971.0,1079021.875,41.0
476,35,1.0,1190,2746013.5,1254236.0,70.0
477,65,2.0,1250,2585486.5,1221310.25,114.0
478,69,2.0,1345,2598852.0,1199260.75,119.0
479,74,2.0,800,2602988.25,1128855.75,50.0
480,55,2.0,1190,2720154.75,1263479.625,21.0
481,30,1.0,775,2537623.0,1154610.625,254.0
482,130,5.0,2580,2683779.75,1251125.125,180.0
483,96,3.0,1640,2722673.5,1280498.0,31.0
484,30,1.0,1160,2596530.75,1199617.5,143.0
485,39,1.0,1250,2538772.5,1152605.5,
486,78,4.0,1850,2535376.5,1153865.875,128.0
487,43,2.0,1010,2604400.0,1197973.125,50.0
488,70,3.0,1090,2619823.5,1228675.5,12.0
489,41,2.0,1380,2555640.5,1145470.25,88.0
490,58,2.0,2930,2681646.5,1246519.5,214.0
491,87,4.0,1225,2622060.0,1196893.25,46.0
492,40,1.0,1080,2562036.75,1205482.0,90.0
493,121,4.0,2170,2604431.5,1200978.875,143.0
494,73,3.0,1200,2611693.0,1270476.25,238.0
495,58,2.0,1350,2510720.25,1141490.0,42.0
496,33,1.0,960,2611771.0,1265959.0,131.0
497,55,2.0,1600,2560975.0,1143303.375,3.0
498,105,3.0,3250,2544564.5,1149398.125,34.0
499,103,4.0,2040,2627622.75,1264611.625,59.0
500,82,2.0,2300,2542066.0,1150437.875,117.0
502,30,1.0,690,2567067.0,1122319.375,72.0
503,68,2.0,1400,2662546.25,1251827.625,117.0
504,62,3.0,1380,2669407.25,1253180.5,171.0
506,80,3.0,1490,2598354.5,1199475.0,140.0
507,72,5.0,2100,2497370.5,1118391.125,219.0
508,74,3.0,1380,2747205.0,1258496.375,134.0
509,67,2.0,1110,2616070.25,1240557.125,52.0
510,54,2.0,870,2723797.25,1076969.75,18.0
511,61,3.0,1070,2566816.0,1222609.375,102.0
512,90,4.0,1750,2585783.0,1175766.375,17.0
513,130,5.0,2680,2686337.75,1255276.5,
514,90,4.0,1950,2607029.5,1272113.875,
515,72,3.0,1300,2600754.25,1205358.875,76.0
517,33,1.0,1290,2664870.5,1211758.75,164.0
518,30,1.0,815,2609023.25,1268135.25,227.0
519,88,4.0,1750,2657329.25,1235459.125,11.0
521,73,3.0,1750,2536294.5,1154596.0,126.0
523,90,3.0,1780,2626610.0,1229824.375,68.0
524,63,2.0,1336,2668514.0,1254551.75,3.0
526,49,2.0,1060,2611310.0,1268525.5,323.0
527,28,1.0,695,2635319.0,1245332.625,63.0
528,68,3.0,880,2631084.5,1226709.5,149.0
529,88,3.0,1850,2724636.25,1240842.375,101.0
530,130,5.0,1980,2595970.0,1199485.375,50.0
531,54,2.0,1590,2707260.5,1235237.0,20.0
532,78,3.0,1100,2594257.25,1120972.5,120.0
534,82,2.0,1700,2654814.75,1251865.875,62.0
535,74,4.0,1130,2624532.75,1228058.625,28.0
536,74,3.0,1598,2682450.75,1244427.625,148.0
537,85,3.0,1260,2573921.25,1161462.875,84.0
538,150,5.0,3183,2702105.75,1242524.625,76.0
539,86,3.0,1320,2623092.75,1258188.75,114.0
540,27,1.0,790,2578476.75,1183874.5,85.0
542,90,4.0,950,2738657.0,1267656.5,63.0
543,76,3.0,1500,2671978.25,1251215.125,166.0
544,85,3.0,1260,2573921.25,1161462.875,84.0
545,104,5.0,2860,2612377.5,1268150.875,
546,87,3.0,1350,2576349.5,1191152.625,62.0
547,35,1.0,1390,2704727.25,1231462.875,20.0
548,75,3.0,1995,2686878.25,1245712.5,73.0
549,60,2.0,1150,2561034.75,1205112.5,67.0
550,100,4.0,1680,2649357.75,1246057.625,60.0
551,87,3.0,1550,2612481.5,1181869.0,68.0
552,72,2.0,1460,2730153.75,1270493.0,5.0
553,71,3.0,1010,2688100.0,1282134.125,124.0
554,53,2.0,1060,2736101.0,1262139.75,98.0
555,76,3.0,1450,2686502.75,1236637.0,18.0
556,40,1.0,850,2610197.0,1267747.875,288.0
557,115,3.0,2325,2612029.75,1266307.25,39.0
